gene_id	Control_12h	Stress_12h	Stress_12_h2
Cre01.g001664.v5.5	0.0	18.1685	5.283469933604876
Cre01.g001550.v5.5	9.67897	11.6885	3.3416741255937517
Cre01.g001685.v5.5	2.15454	4.9859	1.8847893559716495
Cre01.g001678.v5.5	7.87885	12.0415	3.688236319295255
Cre01.g002050.v5.5	6.5646	12.411	4.3761653369379285
Cre01.g001800.v5.5	1.97148	2.98319	2.1461533845403533
Cre01.g001750.v5.5	3.18515	8.46304	2.841264676318398
Cre01.g002150.v5.5	5.21315	6.65637	2.9105676634074515
Cre01.g002100.v5.5	1.36621	2.18498	1.9730197503186675
Cre01.g001950.v5.5	2.50992	0.143126	3.9934660479928556
Cre01.g002203.v5.5	3.5907	10.3545	1.1759460906935009
Cre01.g001983.v5.5	10.8708	3.7144	2.2980306653568077
Cre01.g002227.v5.5	9.32573	4.15677	0.3222327599085043
Cre01.g002200.v5.5	0.190981	0.153066	5.054961318764992
Cre01.g001700.v5.5	1.62098	3.01633	2.249078173231906
Cre01.g002201.v5.5	0.356342	25.1486	1.6042184330968547
Cre01.g002234.v5.5	1.23451	0.912343	0.9527882977852652
Cre01.g002250.v5.5	4.89399	12.7494	4.107336357865664
CRv4_Au5_s1_g1020_t1	1.68972	3.4418	2.3075188729617255
Cre01.g002451.v5.5	1.32103	7.84345	1.0565419115630195
Cre01.g002350.v5.5	5.44009	8.84263	3.2175797131277992
Cre01.g002300.v5.5	0.0515834	285.916	11.018040179652354
Cre01.g002650.v5.5	0.387898	66.7483	8.75297265729578
CRv4_Au5_s1_g1022_t2	1.53932	0.0	0.022407018288366644
Cre01.g002600.v5.5	0.461716	0.751071	0.541153005226785
Cre01.g002700.v5.5	0.551887	1.90702	0.4787306024891531
Cre01.g002750.v5.5	12.9694	18.5402	1.2338389880798188
Cre01.g002824.v5.5	1.20572	0.995353	0.705900955895102
Cre01.g002787.v5.5	1.68488	0.81161	7.181430579447851
Cre01.g002550.v5.5	15.1541	0.351007	0.8069236978992498
Cre01.g002900.v5.5	0.71329	1.4353	4.360876925167707
Cre01.g003000.v5.5	498.679	11.4541	1.128405591595762
Cre01.g002861.v5.5	4.84554	0.383112	3.7491587963126456
Cre01.g003050.v5.5	0.949437	9.24456	0.0
Cre01.g002950.v5.5	0.0252867	0.027191	1.7161656343303244
Cre01.g003100.v5.5	0.740333	1.08572	3.552918041783479
Cre01.g003250.v5.5	137.416	2.95206	0.23024237023905694
Cre01.g003150.v5.5	0.0	0.0	0.878976393687255
Cre01.g003300.v5.5	1.8541	10.4168	3.566778629623475
Cre01.g003200.v5.5	4.52175	0.910879	0.0
Cre01.g003475.v5.5	0.702684	5.62493	0.7188609067697401
Cre01.g003508.v5.5	0.222912	3.59706	2.888969192554432
